arr_size,avg_partition_size
31400,15193.200195
31500,14987.799805
31600,15064.799805
31700,15224.799805
31800,15078.900391
31900,15452.200195
32000,15117.900391
32100,15426.400391
32200,15534.900391
32300,15668.900391
32400,15819.599609
32500,15688.599609
32600,15870.299805
32700,15799.700195
32800,15925.299805
32900,15798.500000
33000,15959.500000
33100,15949.500000
33200,16042.599609
33300,16299.799805
33400,16308.700195
33500,16175.400391
33600,16441.500000
33700,16426.000000
33800,16390.300781
33900,16250.000000
34000,16637.099609
34100,16420.599609
34200,16607.099609
34300,16600.300781
34400,16751.599609
34500,16821.300781
34600,16901.699219
34700,16860.000000
34800,17025.599609
34900,17042.000000
35000,17005.099609
35100,16948.000000
35200,17201.099609
35300,17125.599609
35400,17282.699219
35500,17227.900391
35600,17373.599609
35700,17361.599609
35800,17579.000000
35900,17370.500000
36000,17522.000000
36100,17673.000000
36200,17753.699219
36300,17561.099609
36400,17819.400391
36500,17779.199219
36600,17805.400391
36700,17798.099609
36800,18085.500000
36900,18119.300781
37000,18050.199219
37100,18020.099609
37200,18313.199219
37300,18187.599609
37400,18413.900391
37500,18315.800781
37600,18316.099609
37700,18358.500000
37800,18480.400391
37900,18565.099609
38000,18388.599609
38100,18621.099609
38200,18700.199219
38300,18644.699219
38400,18693.800781
38500,18730.800781
38600,19001.300781
38700,18966.000000
38800,19156.500000
38900,19060.800781
39000,18973.300781
39100,19178.599609
39200,19055.199219
39300,19298.300781
39400,19236.699219
39500,19466.099609
39600,19790.900391
39700,19704.400391
39800,19580.800781
39900,19975.199219
40000,20020.199219
40100,19917.400391
40200,19781.599609
40300,20099.400391
40400,19648.500000
40500,19990.000000
40600,19954.900391
40700,19920.800781
40800,19934.199219
40900,20446.099609
41000,20222.000000
41100,20140.900391
41200,20390.099609
41300,20338.300781
41400,20237.300781
41500,20493.300781
41600,20299.300781
41700,20463.099609
41800,20596.199219
41900,20598.900391
42000,20410.699219
42100,20607.300781
42200,20797.800781
42300,20756.500000
42400,20950.900391
42500,20664.699219
42600,20567.199219
42700,20941.699219
42800,21167.699219
42900,20840.199219
43000,21230.900391
43100,21258.000000
43200,21323.000000
43300,21348.400391
43400,21471.400391
43500,21305.900391
43600,21240.300781
43700,21646.500000
43800,21607.599609
43900,21717.099609
44000,21541.599609
44100,21797.000000
44200,21897.800781
44300,21762.300781
44400,21946.800781
44500,22042.099609
44600,21928.099609
44700,22072.800781
44800,22225.699219
44900,22127.400391
45000,22104.300781
45100,22224.900391
45200,22457.800781
45300,22515.699219
45400,22581.900391
45500,22481.900391
45600,22571.599609
45700,22672.500000
45800,22712.900391
45900,22916.500000
46000,22526.599609
46100,22550.199219
46200,22660.199219
46300,22690.000000
46400,22635.199219
46500,22773.500000
46600,22817.199219
46700,22768.599609
46800,22866.699219
46900,22899.599609
47000,23101.599609
47100,23064.400391
47200,23121.500000
47300,23345.800781
47400,23253.000000
47500,23360.900391
47600,23312.900391
47700,23383.699219
47800,23553.599609
47900,23707.000000
48000,23690.699219
48100,23714.900391
48200,23514.900391
48300,23532.000000
48400,23710.199219
48500,23829.300781
48600,23782.099609
48700,23940.599609
48800,23963.000000
48900,23625.400391
49000,24058.400391
49100,23974.800781
49200,23881.000000
49300,24068.199219
49400,24319.900391
49500,24261.000000
49600,24444.099609
49700,24306.900391
49800,24459.400391
49900,24299.000000
50000,24466.300781
50100,24491.800781
50200,24572.099609
50300,24629.800781
50400,24841.900391
50500,24995.900391
50600,24738.099609
50700,24909.199219
50800,25125.900391
50900,25071.900391
51000,25164.199219
51100,24945.300781
51200,25097.300781
51300,25114.699219
51400,25339.400391
51500,25236.900391
51600,25338.699219
51700,25242.099609
51800,25609.000000
51900,25422.300781
52000,25563.699219
52100,25731.599609
52200,25501.099609
52300,25841.900391
52400,25880.800781
52500,25689.500000
52600,26113.800781
52700,26021.300781
52800,26085.900391
52900,26068.300781
53000,26100.400391
53100,26243.099609
53200,26230.699219
53300,26477.000000
53400,26168.800781
53500,26271.199219
53600,26373.400391
53700,26520.900391
53800,26696.000000
53900,26534.500000
54000,26684.699219
54100,26755.900391
54200,26623.699219
54300,26892.199219
54400,27107.000000
54500,27027.800781
54600,27162.900391
54700,27091.500000
54800,26933.800781
54900,26967.599609
55000,27230.800781
55100,27325.800781
55200,27300.599609
55300,27300.900391
55400,27256.699219
55500,27270.599609
55600,27597.800781
55700,27512.000000
55800,27570.800781
55900,27676.900391
56000,27595.599609
56100,27593.300781
56200,27683.599609
56300,27789.699219
56400,28034.099609
56500,27976.099609
56600,28025.000000
56700,27931.000000
56800,27956.800781
56900,28317.000000
57000,28370.500000
57100,28406.099609
57200,28234.500000
57300,28361.500000
57400,28367.599609
57500,28524.300781
57600,28664.400391
57700,28431.000000
57800,28664.300781
57900,28810.699219
58000,28711.500000
58100,28810.699219
58200,28644.300781
58300,28591.000000
58400,28768.599609
58500,28926.599609
58600,28919.800781
58700,28960.800781
58800,29003.099609
58900,29299.800781
59000,29326.400391
59100,24515.000000
59200,24633.400391
59300,25009.000000
59400,26556.599609
59500,27103.900391
59600,28920.199219
59700,28732.099609
59800,26667.800781
59900,11023.099609
60000,28182.400391
60100,27826.099609
60200,27094.400391
60300,27178.900391
60400,27731.699219
60500,28698.599609
60600,29199.500000
60700,29177.000000
60800,28643.199219
60900,29031.900391
61000,29857.400391
61100,29334.900391
61200,29832.900391
61300,26685.500000
61400,27867.699219
61500,24948.699219
61600,14773.500000
61700,28275.900391
61800,29894.400391
61900,29016.699219
62000,24480.800781
62100,26073.300781
62200,29820.500000
62300,17071.800781
62400,27532.099609
62500,28691.300781
62600,29434.800781
62700,29723.300781
62800,29851.699219
62900,30444.500000
63000,29876.699219
63100,30491.000000
63200,30227.000000
63300,30411.300781
63400,30427.000000
63500,30797.199219
63600,31223.800781
63700,31156.000000
63800,30780.500000
63900,30807.099609
64000,30789.500000
64100,31123.000000
64200,30926.599609
64300,30665.199219
64400,30979.800781
64500,31239.900391
64600,31337.599609
64700,31529.500000
64800,31315.500000
64900,31995.400391
65000,31514.900391
65100,32014.699219
65200,32197.199219
65300,31595.800781
65400,31910.400391
65500,32206.099609
65600,31909.300781
65700,27057.300781
65800,30374.400391
65900,23505.300781
66000,28738.800781
66100,30811.800781
66200,30276.400391
66300,31827.699219
66400,30185.400391
66500,27859.199219
66600,23158.800781
66700,21143.000000
66800,29693.800781
66900,31203.900391
67000,31055.900391
67100,31170.599609
67200,31595.099609
67300,32213.599609
67400,31203.500000
67500,32250.800781
67600,32241.199219
67700,31997.900391
67800,29240.000000
67900,27232.300781
68000,30076.199219
68100,29369.400391
68200,28241.900391
68300,31492.800781
68400,31089.099609
68500,32131.400391
68600,30396.900391
68700,31193.300781
68800,17158.900391
68900,24679.500000
69000,31538.099609
69100,31091.199219
69200,32169.599609
69300,31630.400391
69400,32458.300781
69500,32178.800781
69600,31833.300781
69700,32859.601562
69800,33572.601562
69900,32970.500000
70000,33400.300781
70100,33186.699219
70200,33782.898438
70300,32989.300781
70400,33632.898438
70500,33492.500000
70600,33973.500000
70700,34000.699219
70800,33550.101562
70900,34342.398438
71000,33478.500000
71100,34491.601562
71200,34668.898438
71300,34225.300781
71400,34079.898438
71500,34311.699219
71600,34506.199219
71700,34812.101562
71800,34342.300781
71900,34655.898438
72000,35029.000000
72100,34982.601562
72200,34943.000000
72300,35353.199219
72400,35547.300781
72500,35181.101562
72600,35138.500000
72700,35229.101562
72800,35803.101562
72900,35493.000000
73000,35257.101562
73100,35706.800781
73200,35761.601562
73300,35294.800781
73400,35522.500000
73500,35455.699219
73600,35454.601562
73700,35575.398438
73800,36231.101562
73900,35905.398438
74000,36024.500000
74100,36109.699219
74200,36304.199219
74300,36047.699219
74400,35583.398438
74500,35832.398438
74600,36631.500000
74700,36187.000000
74800,35820.500000
74900,36343.000000
