arr_size,avg_partition_size
31300,14800.900391
31400,15062.400391
31500,14902.400391
31600,15069.400391
31700,15133.000000
31800,15183.099609
31900,15236.799805
32000,15287.799805
32100,15153.400391
32200,15387.000000
32300,15427.200195
32400,15515.299805
32500,15505.900391
32600,15569.200195
32700,15601.900391
32800,15667.400391
32900,15738.599609
33000,15768.400391
33100,15781.799805
33200,15835.500000
33300,15897.200195
33400,15965.700195
33500,15967.200195
33600,16059.200195
33700,16104.200195
33800,16109.700195
33900,16166.200195
34000,16279.099609
34100,16307.000000
34200,16338.200195
34300,16377.200195
34400,16506.800781
34500,16492.000000
34600,16517.599609
34700,16623.300781
34800,16600.199219
34900,16618.599609
35000,16691.800781
35100,16748.000000
35200,16833.300781
35300,16797.699219
35400,16892.400391
35500,16896.699219
35600,17025.900391
35700,17081.400391
35800,17109.500000
35900,17145.400391
36000,17211.199219
36100,17235.300781
36200,17248.699219
36300,17316.300781
36400,17361.300781
36500,17484.500000
36600,17508.199219
36700,17525.099609
36800,17593.800781
36900,17658.300781
37000,17672.900391
37100,17719.699219
37200,17724.900391
37300,17869.300781
37400,17803.400391
37500,17906.500000
37600,17958.199219
37700,17979.199219
37800,18082.500000
37900,18130.000000
38000,18141.400391
38100,18233.900391
38200,18232.199219
38300,18284.599609
38400,18320.199219
38500,18352.000000
38600,18421.699219
38700,18500.099609
38800,18525.000000
38900,18546.900391
39000,18613.900391
39100,18666.699219
39200,18732.900391
39300,18807.000000
39400,18815.900391
39500,18855.400391
39600,18897.699219
39700,18981.199219
39800,19059.199219
39900,19060.300781
40000,19127.300781
40100,19186.599609
40200,19200.800781
40300,19203.599609
40400,19333.599609
40500,19279.199219
40600,19441.800781
40700,19446.300781
40800,19470.099609
40900,19504.900391
41000,19568.099609
41100,19623.199219
41200,19668.500000
41300,19678.500000
41400,19760.099609
41500,19792.500000
41600,19819.099609
41700,19909.500000
41800,19941.500000
41900,19955.199219
42000,20050.400391
42100,20135.900391
42200,20143.000000
42300,20179.800781
42400,20225.000000
42500,20295.099609
42600,20338.400391
42700,20401.000000
42800,20441.699219
42900,20506.500000
43000,20500.000000
43100,20573.300781
43200,20618.400391
43300,20649.599609
43400,20746.300781
43500,20763.900391
43600,20819.199219
43700,20821.199219
43800,20903.099609
43900,20948.800781
44000,21031.199219
44100,21043.699219
44200,21074.000000
44300,21153.599609
44400,21214.800781
44500,21227.500000
44600,21258.099609
44700,21334.599609
44800,21411.199219
44900,21445.199219
45000,21515.099609
45100,21540.099609
45200,21553.800781
45300,21604.500000
45400,21699.599609
45500,21739.099609
45600,21762.900391
45700,21853.400391
45800,21835.099609
45900,21902.800781
46000,21939.500000
46100,22016.900391
46200,22121.099609
46300,22122.900391
46400,22160.900391
46500,22185.000000
46600,22209.599609
46700,22298.400391
46800,22324.800781
46900,22433.300781
47000,22443.300781
47100,22528.000000
47200,22590.000000
47300,22576.599609
47400,22619.099609
47500,22673.800781
47600,22756.800781
47700,22768.199219
47800,22819.099609
47900,22876.900391
48000,22933.500000
48100,22988.500000
48200,23000.199219
48300,23126.800781
48400,23146.300781
48500,23122.400391
48600,23203.000000
48700,23241.699219
48800,23261.800781
48900,23381.000000
49000,23414.500000
49100,23435.300781
49200,23486.699219
49300,23564.400391
49400,23577.099609
49500,23664.800781
49600,23720.300781
49700,23694.500000
49800,23789.599609
49900,23837.199219
50000,23888.000000
50100,23883.400391
50200,23897.000000
50300,24013.099609
50400,24059.400391
50500,24123.800781
50600,24180.699219
50700,24239.300781
50800,24282.000000
50900,24305.400391
51000,24340.599609
51100,24442.599609
51200,24509.300781
51300,24488.800781
51400,24521.800781
51500,24613.500000
51600,24655.199219
51700,24718.699219
51800,24782.800781
51900,24782.300781
52000,24863.599609
52100,24870.699219
52200,24928.099609
52300,24958.300781
52400,25079.900391
52500,25129.099609
52600,25121.500000
52700,25251.000000
52800,25199.000000
52900,25285.500000
53000,25136.099609
53100,25379.300781
53200,25197.699219
53300,25511.199219
53400,25458.099609
53500,25571.199219
53600,25593.699219
53700,25703.699219
53800,25712.500000
53900,25780.300781
54000,25799.599609
54100,25888.800781
54200,25849.000000
54300,25940.900391
54400,25984.199219
54500,26077.199219
54600,26084.099609
54700,26141.900391
54800,26231.699219
54900,26212.900391
55000,26290.699219
55100,26336.400391
55200,26364.000000
55300,26472.900391
55400,26488.800781
55500,26501.800781
55600,26612.699219
55700,26585.400391
55800,26658.500000
55900,26707.099609
56000,26807.000000
56100,26807.599609
56200,26833.900391
56300,26905.800781
56400,26988.900391
56500,27039.099609
56600,27071.800781
56700,27127.800781
56800,27156.900391
56900,27191.699219
57000,27235.000000
57100,27280.500000
57200,27311.500000
57300,27377.400391
57400,27457.900391
57500,27483.400391
57600,27548.000000
57700,27614.500000
57800,27641.199219
57900,27488.400391
58000,27697.199219
58100,27766.300781
58200,27842.599609
58300,27876.000000
58400,27960.500000
58500,28062.500000
58600,28029.099609
58700,28043.900391
58800,28149.900391
58900,28150.400391
59000,28207.900391
59100,28295.000000
59200,28253.599609
59300,28369.900391
59400,28390.800781
59500,28415.500000
59600,28511.900391
59700,28530.800781
59800,28558.000000
59900,28654.500000
60000,28689.400391
60100,28754.000000
60200,28791.500000
60300,28822.900391
60400,28822.800781
60500,28949.699219
60600,28915.099609
60700,29050.699219
60800,29097.500000
60900,29095.900391
61000,29233.199219
61100,29202.699219
61200,29202.699219
61300,29302.400391
61400,29372.599609
61500,29386.900391
61600,29438.099609
61700,29508.900391
61800,29555.300781
61900,29553.199219
62000,29694.300781
62100,29641.099609
62200,29723.800781
62300,29758.300781
62400,29824.199219
62500,29901.099609
62600,29935.500000
62700,29898.699219
62800,30023.000000
62900,30035.900391
63000,30101.400391
63100,30082.599609
63200,30180.599609
63300,30195.000000
63400,30267.099609
63500,30365.199219
63600,30355.199219
63700,30446.000000
63800,30427.400391
63900,30527.400391
64000,30522.800781
64100,30555.500000
64200,30732.099609
64300,30719.500000
64400,30792.699219
64500,30859.900391
64600,30871.900391
64700,30951.099609
64800,30943.900391
64900,31015.400391
65000,30997.199219
65100,31102.400391
65200,31145.300781
65300,31148.800781
65400,31257.500000
65500,31338.500000
65600,31272.099609
65700,31365.099609
65800,31420.900391
65900,31514.099609
66000,31526.800781
66100,31495.900391
66200,31622.400391
66300,31592.699219
66400,31778.500000
66500,31765.699219
66600,31796.900391
66700,31886.900391
66800,31876.800781
66900,31999.699219
67000,31979.099609
67100,32041.699219
67200,32067.699219
67300,32225.800781
67400,32147.099609
67500,32207.500000
67600,32228.099609
67700,32349.500000
67800,32407.800781
