arr_size,avg_partition_size
31300,15336.000000
31400,15243.200195
31500,15434.599609
31600,15413.099609
31700,15589.799805
31800,15578.599609
31900,15705.200195
32000,15694.599609
32100,15821.799805
32200,15816.500000
32300,15704.299805
32400,15829.599609
32500,15813.400391
32600,15946.799805
32700,16096.599609
32800,16110.700195
32900,16186.500000
33000,16117.599609
33100,16261.299805
33200,16229.000000
33300,16219.900391
33400,16391.099609
33500,16454.400391
33600,16484.800781
33700,16632.599609
33800,16817.199219
33900,16708.199219
34000,16656.500000
34100,16926.000000
34200,16889.699219
34300,16862.099609
34400,17034.000000
34500,17186.099609
34600,17001.800781
34700,16998.500000
34800,17144.099609
34900,17270.800781
35000,17343.099609
35100,17316.599609
35200,17366.099609
35300,17489.599609
35400,17400.900391
35500,17363.900391
35600,17498.500000
35700,17511.099609
35800,17654.500000
35900,17732.099609
36000,17769.500000
36100,17716.500000
36200,17865.400391
36300,17923.400391
36400,17816.699219
36500,17969.300781
36600,18053.699219
36700,17999.099609
36800,18196.300781
36900,18116.800781
37000,18220.500000
37100,18206.099609
37200,18199.699219
37300,18295.300781
37400,18481.900391
37500,18421.500000
37600,18722.099609
37700,18473.400391
37800,18510.599609
37900,18686.699219
38000,18806.599609
38100,18830.400391
38200,18810.000000
38300,18723.699219
38400,18949.599609
38500,19022.000000
38600,19236.099609
38700,19174.199219
38800,19201.800781
38900,19155.000000
39000,19143.500000
39100,19407.599609
39200,19349.500000
39300,19397.099609
39400,19491.000000
39500,19428.099609
39600,19492.400391
39700,19525.300781
39800,19716.099609
39900,19727.300781
40000,19807.300781
40100,19873.699219
40200,19836.599609
40300,19864.300781
40400,20090.599609
40500,20028.599609
40600,19922.800781
40700,20132.199219
40800,20263.000000
40900,20140.099609
41000,20036.900391
41100,20333.300781
41200,20361.300781
41300,20269.800781
41400,20467.800781
41500,20435.599609
41600,20532.800781
41700,20590.900391
41800,20718.699219
41900,20554.800781
42000,20802.900391
42100,20744.400391
42200,20742.000000
42300,20807.199219
42400,21015.199219
42500,21050.599609
42600,21098.699219
42700,20907.300781
42800,21098.800781
42900,21203.500000
43000,21204.000000
43100,21353.500000
43200,21339.900391
43300,21322.500000
43400,21385.300781
43500,21515.199219
43600,21572.699219
43700,21644.199219
43800,21667.699219
43900,21671.900391
44000,21684.500000
44100,21790.500000
44200,21977.900391
44300,21861.000000
44400,22106.900391
44500,22000.500000
44600,22023.800781
44700,22069.199219
44800,22070.800781
44900,22139.300781
45000,22301.099609
45100,22280.400391
45200,22311.599609
45300,22187.900391
45400,22507.300781
45500,22552.099609
45600,22675.800781
45700,22521.099609
45800,22487.000000
45900,22705.800781
46000,22776.199219
46100,22787.300781
46200,22868.400391
46300,22961.900391
46400,22822.199219
46500,22809.599609
46600,22988.400391
46700,23053.800781
46800,22973.699219
46900,23164.900391
47000,23117.500000
47100,23178.800781
47200,23437.199219
47300,23391.800781
47400,23437.800781
47500,23192.400391
47600,23381.800781
47700,23572.500000
47800,23699.900391
47900,23595.099609
48000,23659.199219
48100,23657.800781
48200,23796.400391
48300,24007.800781
48400,23841.099609
48500,23944.699219
48600,24127.599609
48700,24038.000000
48800,24179.599609
48900,24256.099609
49000,24157.300781
49100,24417.900391
49200,24345.800781
49300,24326.500000
49400,24490.699219
49500,24463.300781
49600,24606.500000
49700,24556.199219
49800,24625.199219
49900,24761.400391
50000,24712.699219
50100,24811.199219
50200,24753.900391
50300,24976.099609
50400,24928.099609
50500,24750.000000
50600,24933.699219
50700,24994.599609
50800,24919.500000
50900,24996.099609
51000,24913.099609
51100,25143.500000
51200,25261.000000
51300,25251.099609
51400,25164.500000
51500,25285.500000
51600,25293.300781
51700,25323.500000
51800,25448.800781
51900,25610.199219
52000,25773.400391
52100,25707.400391
52200,25533.400391
52300,25560.000000
52400,25709.800781
52500,25850.800781
52600,25871.000000
52700,25880.000000
52800,25870.699219
52900,25787.800781
53000,25812.000000
53100,26144.000000
53200,26032.800781
53300,25799.099609
53400,26046.199219
53500,26201.000000
53600,26144.699219
53700,26142.000000
53800,26251.699219
53900,26408.900391
