num_elements,avg_comparison,avg_time
2,0,0.0015
4,2,0.0012
8,8,0.0026
16,30,0.0060
32,94,0.0136
64,228,0.0290
128,533,0.0786
256,1114,0.2346
512,2331,0.7035
1024,4669,2.3984
2048,9477,8.4613
4096,19010,35.5727
8192,38130,123.2739
16384,76379,456.1588
32768,152862,1767.2637
65536,276454,5783.6709
131072,482083,15315.3330
