num_elements,avg_comparison,avg_time
2,0,0.0011
4,1,0.0016
8,9,0.0024
16,32,0.0061
32,96,0.0132
64,235,0.0283
128,530,0.0772
256,1145,0.2117
512,2350,0.6106
1024,4661,2.0692
2048,7992,5.1653
4096,13455,12.3691
8192,23169,28.7298
16384,41224,65.7073
32768,75332,154.4470
65536,141462,410.0506
131072,268946,1181.7051
