num_elements,avg_comparison,avg_time
2,0,0.0016
4,1,0.0013
8,5,0.0022
16,16,0.0037
32,41,0.0044
64,103,0.0096
128,226,0.0192
256,463,0.0362
512,978,0.0769
1024,1977,0.1837
2048,3983,0.4465
4096,7932,1.2790
8192,16236,5.9003
16384,32302,19.4391
32768,64259,60.7424
65536,126714,204.9086
131072,255779,756.6887
