num_elements,avg_comparison,avg_time
2,0,0.0015
4,2,0.0016
8,8,0.0028
16,30,0.0057
32,93,0.0121
64,233,0.0304
128,537,0.0781
256,1129,0.2445
512,2327,0.7473
1024,4706,2.4303
2048,9504,8.9963
4096,19174,33.4421
8192,37953,125.5297
16384,66466,337.5646
32768,114816,837.3363
65536,195396,2037.9861
131072,336788,4790.7578
