num_elements,avg_comparison,avg_time
2,2,0.0015
4,8,0.0019
8,24,0.0026
16,64,0.0034
32,160,0.0057
64,384,0.0101
128,896,0.0187
256,2048,0.0380
512,4608,0.0771
1024,10240,0.1677
2048,22528,0.3380
4096,49152,0.7881
8192,106496,1.4580
16384,229376,2.7343
32768,491520,5.4954
65536,1048576,11.5770
131072,2228224,22.8927
262144,4718592,47.1528
524288,9961472,108.8891
1048576,20971520,206.9591
