num_elements,avg_comparison,avg_time
2,0,0.0022
4,1,0.0021
8,10,0.0049
16,37,0.0092
32,109,0.0155
64,279,0.0413
128,665,0.1049
256,1512,0.3339
512,3195,0.9840
1024,6460,3.1202
2048,12900,11.4409
4096,25727,46.4975
8192,51493,134.9745
16384,102509,478.7387
32768,204826,1860.2976
65536,380002,5897.1807
131072,643950,15427.7236
