num_elements,avg_comparison,avg_time
2,0,0.0022
4,2,0.0018
8,10,0.0027
16,36,0.0066
32,105,0.0144
64,276,0.0434
128,679,0.1002
256,1521,0.2816
512,3213,0.8318
1024,6414,2.7789
2048,10907,6.4294
4096,18155,15.7094
8192,30742,32.5303
16384,53955,64.5542
32768,99282,140.0518
65536,186066,308.4623
131072,359005,727.3990
