num_elements,avg_comparison,avg_time
2,0,0.0015
4,1,0.0016
8,11,0.0026
16,33,0.0047
32,104,0.0134
64,278,0.0419
128,671,0.0983
256,1523,0.2705
512,3207,0.8069
1024,6529,3.7374
2048,12929,10.2958
4096,25862,33.1843
8192,51297,124.9240
16384,90311,328.7932
32768,152154,810.6508
65536,257187,1912.1941
131072,445990,4281.1309
