num_elements,avg_comparison,avg_time
2,0,0.0017
4,1,0.0014
8,6,0.0023
16,18,0.0041
32,49,0.0060
64,116,0.0110
128,273,0.0228
256,607,0.0349
512,1274,0.0670
1024,2627,0.1504
2048,5356,0.3527
4096,10705,0.8676
8192,21351,2.0140
16384,42876,6.4941
32768,85941,23.1833
65536,171336,74.7566
131072,345968,268.8119
