num_elements,avg_comparison,avg_time
2,0,0.0019
4,2,0.0029
8,9,0.0038
16,34,0.0070
32,103,0.0176
64,281,0.0427
128,677,0.1160
256,1533,0.2886
512,3223,0.8843
1024,6423,2.7494
2048,12886,9.8431
4096,25725,38.8731
8192,45096,95.4916
16384,76420,211.4018
32768,128586,478.8895
65536,220649,1067.5237
131072,400683,2372.5930
