num_elements,avg_comparison,avg_time
2,0,0.0011
4,1,0.0014
8,5,0.0026
16,16,0.0031
32,43,0.0054
64,99,0.0104
128,222,0.0187
256,473,0.0362
512,976,0.0743
1024,1979,0.1853
2048,3990,0.4708
4096,8040,1.3261
8192,16166,3.3020
16384,32148,13.6012
32768,64433,50.7299
65536,128780,194.9670
131072,258003,774.1038
262144,515605,3097.6060
524288,1035454,11677.9404
1048576,2063805,46616.4141
