num_elements,avg_comparison,avg_time
2,0,0.0010
4,1,0.0015
8,6,0.0018
16,18,0.0024
32,48,0.0040
64,120,0.0086
128,276,0.0149
256,612,0.0315
512,1279,0.0664
1024,2603,0.1349
2048,5294,0.3334
4096,10700,0.7227
8192,21479,1.9404
16384,42843,5.9666
32768,86314,18.3732
65536,172445,73.7293
131072,344217,253.8937
262144,692090,1105.7704
524288,1372395,3851.1587
1048576,2751878,15177.0186
