num_elements,avg_comparison,avg_time
2,0,0.0014
4,1,0.0022
8,5,0.0024
16,16,0.0033
32,42,0.0053
64,100,0.0087
128,222,0.0151
256,475,0.0305
512,978,0.0674
1024,1980,0.1550
2048,3985,0.3846
4096,8032,1.1495
8192,16018,3.5750
16384,32351,12.5389
32768,64722,47.9806
65536,129065,182.8360
131072,257865,699.0815
262144,515959,2777.9922
524288,1033504,11108.5928
1048576,2066778,44673.3047
