num_elements,avg_comparison,avg_time
2,0,0.0013
4,1,0.0019
8,6,0.0026
16,17,0.0037
32,47,0.0061
64,118,0.0091
128,275,0.0169
256,611,0.0347
512,1275,0.0667
1024,2601,0.1417
2048,5326,0.3162
4096,10668,0.7232
8192,21395,2.0684
16384,42767,5.9263
32768,86335,19.1345
65536,171391,67.0057
131072,343090,255.5023
262144,688156,1052.6924
524288,1372355,3843.4255
1048576,2767876,15435.0596
