num_elements,avg_comparison,avg_time
2,0,0.0000
4,1,0.0000
8,6,0.0000
16,17,0.0000
32,46,0.0000
64,118,0.0000
128,277,0.0200
256,610,0.0600
512,1272,0.0600
1024,2597,0.0800
2048,5302,0.1600
4096,10703,0.5600
8192,21455,1.3000
16384,43015,4.3600
32768,85929,14.6800
65536,172363,52.6600
131072,344786,197.1000
