num_elements,avg_comparison,avg_time
2,1,0.0022
4,4,0.0021
8,13,0.0022
16,33,0.0035
32,58,0.0073
64,166,0.0095
128,374,0.0161
256,1651,0.0273
512,7123,0.0610
1024,30604,0.1418
2048,125517,0.4384
4096,507796,1.5122
8192,2050589,7.5732
16384,8219191,38.3929
