num_elements,avg_comparison,avg_time
2,1,0.0041
4,1,0.0026
8,4,0.0025
16,9,0.0033
32,17,0.0075
64,35,0.0127
128,57,0.0198
256,164,0.0296
512,412,0.0784
1024,924,0.1512
2048,1948,0.3384
4096,3996,0.9370
8192,8092,3.3884
16384,16284,16.4135
32768,32668,76.1730
65536,65436,333.4080
131072,130972,1163.4929
