div_size,avg_time
913,53.036800
915,51.161600
917,51.660800
919,51.095200
921,52.626400
923,52.480001
925,50.910401
927,52.079999
929,53.878400
931,51.459200
933,70.233601
935,52.379200
937,52.888000
939,53.678400
941,53.923200
943,53.364800
945,53.187200
947,55.048000
949,52.779200
951,53.467200
953,53.422400
955,53.692800
957,54.732800
959,52.864000
961,56.491200
963,56.296000
965,55.088000
967,56.238400
969,55.582400
971,53.916800
973,56.254400
975,54.894400
977,54.334401
979,54.854400
981,55.464000
983,54.423999
985,56.744000
987,57.684800
989,55.694400
991,55.598400
993,56.385600
995,56.008000
997,55.628800
999,55.492800
1001,57.068800
1003,59.574400
1005,56.208000
1007,57.046400
1009,58.694400
1011,57.355200
1013,55.187200
1015,56.404799
1017,59.780799
1019,61.129600
1021,60.793601
1023,59.611200
1025,60.369600
1027,57.854400
1029,58.849600
1031,59.428799
1033,59.228800
1035,59.510400
1037,60.649600
1039,61.243200
1041,57.670399
1043,58.198400
1045,58.873600
1047,57.736000
1049,58.236800
1051,58.550399
1053,60.321600
1055,59.665601
1057,58.057600
1059,58.924800
1061,59.862400
1063,58.768000
1065,58.249600
1067,59.588800
1069,61.852800
1071,58.689600
1073,58.761599
1075,60.001600
1077,59.857600
1079,63.116800
1081,59.273600
1083,58.827200
1085,61.825600
1087,60.524800
1089,61.089600
1091,61.982399
1093,63.651200
1095,61.536000
1097,61.046401
1099,62.915200
1101,65.560000
1103,61.972800
1105,59.915200
1107,62.832001
1109,61.905600
1111,78.468799
1113,61.494400
1115,62.940799
1117,73.310400
1119,82.449600
1121,106.486399
1123,80.393599
1125,64.665601
1127,69.348800
1129,69.510400
1131,74.123199
1133,64.196799
1135,64.110401
1137,62.823999
1139,62.750400
1141,64.294399
1143,65.043200
1145,67.273600
1147,64.931201
1149,63.163200
1151,65.123201
1153,63.612801
1155,65.134400
1157,64.366400
1159,63.974400
1161,64.769600
1163,64.099200
1165,65.625600
1167,64.763201
1169,64.124800
1171,66.817599
1173,64.923200
1175,64.254400
1177,67.161600
1179,87.755201
1181,88.961599
1183,68.648000
1185,66.326400
1187,67.006400
1189,90.614400
1191,66.123200
1193,66.641600
1195,65.849599
1197,69.614401
1199,65.664001
1201,71.110400
1203,69.395200
1205,68.459200
1207,69.011200
1209,69.040000
1211,70.401600
1213,70.486401
1215,72.216001
1217,70.659201
1219,67.652800
1221,67.566400
1223,67.510399
1225,67.736001
1227,67.903999
1229,68.736001
1231,69.179200
1233,68.395200
1235,69.699199
1237,67.430399
1239,68.868800
1241,69.200001
1243,70.857600
1245,69.728000
1247,70.710398
1249,68.612799
1251,70.280001
1253,69.753600
1255,67.886400
1257,68.180798
1259,69.886400
1261,70.444801
1263,70.182401
1265,73.057600
1267,70.727999
1269,71.827200
1271,69.737601
1273,69.528000
1275,75.640000
1277,88.430401
1279,71.809601
1281,71.476800
1283,71.566399
1285,71.726399
1287,74.272001
1289,72.828802
1291,72.774400
1293,72.032000
1295,75.198399
1297,74.225600
1299,83.409599
1301,77.790400
1303,74.380801
1305,71.935999
1307,71.428800
1309,72.219200
1311,71.579200
1313,73.409601
1315,72.344000
1317,71.684801
1319,73.636800
1321,72.414401
1323,73.385600
1325,72.862399
1327,72.870400
1329,74.892800
1331,73.414400
1333,78.185600
1335,74.432001
1337,77.801601
1339,73.760001
1341,73.625600
1343,75.792001
1345,77.923200
1347,74.412800
1349,74.787199
1351,74.806402
1353,76.291200
1355,76.608001
1357,75.548799
1359,76.191998
1361,78.710400
1363,74.137601
1365,79.055999
1367,77.689600
1369,78.265599
1371,79.129601
1373,79.219199
1375,79.584000
1377,80.467200
1379,78.323199
1381,77.795200
1383,78.009600
1385,79.267200
1387,81.910400
1389,78.009601
1391,79.462400
1393,76.268800
1395,76.476800
1397,76.793600
1399,80.489599
1401,78.998399
1403,77.520000
1405,79.100800
1407,77.196799
1409,77.664001
1411,77.705600
1413,82.198400
1415,100.563200
1417,77.721601
1419,78.358401
1421,80.934401
1423,82.236800
1425,78.316800
1427,81.030401
1429,80.540800
1431,82.348801
1433,80.716800
1435,83.436800
1437,79.654401
1439,82.067200
1441,82.540801
1443,78.937599
1445,81.337600
1447,93.360001
1449,79.535999
1451,79.670399
1453,83.900800
1455,80.755199
1457,82.844800
1459,80.307199
1461,79.907200
1463,82.428799
1465,79.459200
1467,81.273601
1469,80.643201
1471,80.988801
1473,82.172800
1475,81.427200
1477,81.782400
1479,81.315199
1481,80.659200
1483,82.748800
1485,80.716801
1487,81.331200
1489,83.142401
1491,81.967999
1493,84.192000
1495,85.094400
1497,81.887999
1499,105.459200
1501,132.668800
1503,130.278399
1505,125.318401
1507,96.864000
1509,101.440001
1511,102.048000
1513,91.027200
1515,89.904000
1517,87.775999
1519,86.473598
1521,84.592001
1523,82.096001
1525,87.126401
1527,85.232000
1529,84.044801
1531,86.873599
1533,84.953600
1535,85.344000
1537,85.699200
1539,89.958401
1541,88.608000
1543,85.520000
1545,87.702401
1547,85.878400
1549,86.409601
1551,85.289600
1553,90.515199
1555,87.798399
1557,86.694400
1559,90.768000
1561,97.753600
1563,87.859200
1565,86.867200
1567,86.659201
1569,85.609600
1571,103.110401
1573,88.652800
1575,89.856001
1577,92.124801
1579,93.958401
1581,86.431998
1583,89.715200
1585,88.057600
1587,88.384000
1589,89.683199
1591,88.614399
1593,90.147198
1595,88.780800
1597,88.048000
1599,88.073600
1601,89.462400
1603,90.924800
1605,90.041599
1607,89.504000
1609,89.788800
1611,88.262400
1613,91.644799
1615,91.657599
1617,89.023998
1619,88.576000
1621,88.515200
1623,90.857600
1625,91.420800
1627,89.382401
1629,91.030400
1631,102.217600
1633,111.878402
1635,92.243200
1637,90.812800
1639,92.057599
1641,92.012800
1643,91.292799
1645,96.790401
